title	original	archive
起底弑母少女身后的网戒学校：暴力抓走、随时体罚和神秘专家	https://www.thepaper.cn/newsDetail_forward_1532141	https://web.archive.org/web/20240616162214/https://www.thepaper.cn/newsDetail_forward_1532141
网戒学校第一案宣判后，“杨永信”们并没有消失	https://new.qq.com/rain/a/20230612A09QOU00	https://archive.is/RaJ3D
15岁女生在“戒网瘾学校”遭教官性侵，学校封锁丑闻两个月，已被关停	https://new.qq.com/rain/a/20230921A0615D00	https://archive.is/TPKKD
18岁网瘾少年被铐着关禁闭两天死亡，戒网瘾学校5人获刑	https://www.thepaper.cn/newsDetail_forward_3014515	https://archive.is/pbA3c
京华时报：“戒网瘾学校”是长在教育上的息肉	http://opinion.people.com.cn/n1/2016/1013/c1003-28774889.html	https://archive.is/kKWiQ
“戒网瘾死亡”案：母亲称得到血的教训 18岁男孩被送去戒网瘾学校两天后死亡 母亲称得到血的教训	https://www.guancha.cn/politics/2019_02_24_491234.shtml	https://archive.is/VyOLt
网戒学校20年不倒的秘密：绝对服从，审查家书，不服就打	https://www.thepaper.cn/newsDetail_forward_1540331	https://archive.is/CjWdU
重审开庭！涉嫌非法拘禁，共19名被害人！揭露人发声→	https://www.thepaper.cn/newsDetail_forward_22537961	https://archive.is/hgHgd
一个戒网瘾学校投资者的自白：如何办一所利润100%的“集中营”	https://jiemodui.com/N/94422.html	https://archive.is/XqmzW
多名学员讲述新巴蜀特训营经历：被欺凌殴打是常态	https://news.cctv.com/2024/08/18/ARTIjq41Ia4U5awvNCpsW5GU240818.shtml	https://archive.is/GP9bw
女生戒网瘾学校内患癌 校方:其父说吃止痛药就行	https://news.sina.com.cn/s/2018-06-15/doc-ihcyszrz8019023.shtml	https://archive.is/J6B1e
媒体刊文评安徽少年命丧戒网学校：“治网瘾”还要害多少人	https://www.thepaper.cn/newsDetail_forward_1766244	https://archive.is/g2zvr
18岁男孩被送去“戒网瘾”两天后死亡 母亲：很后悔	http://it.people.com.cn/n1/2019/0224/c1009-30898697.html	https://archive.is/KQxXz
戒网瘾学校有多恐怖？电击殴打无处不在，学生每天想自杀解脱	https://baijiahao.baidu.com/s?id=1803476657206346381	https://archive.is/cD0gv
14岁男生被送到戒网瘾学校四天后骨折 涉事教官停职 警方介入	https://baijiahao.baidu.com/s?id=1687042964336943370	https://archive.is/CpOtu
安徽“男孩戒网瘾身亡案”开庭	https://baijiahao.baidu.com/s?id=1614616814979007616	https://archive.is/g5BUx
山东“戒网瘾学校”：勒令女学员喝脏拖把拧下来的水	https://news.cnr.cn/native/gd/20161014/t20161014_523196309.shtml	https://archive.is/tiOYv
观点1+1：19岁女孩惨死“野鸡学校”，戒网瘾无正道？	http://opinion.people.com.cn/n/2014/0617/c1003-25161313.html	https://archive.is/vwCNw
戒网瘾致人死涉事学校仍招生 其办学资格已被撤销	https://finance.cnr.cn/gundong/201406/t20140617_515674809.shtml	https://archive.is/omtwi
揭秘戒除网瘾学校如何训练和体罚学生：晕倒用水灌	http://www.mnw.cn/news/shehui/763416.html	https://web.archive.org/web/20140906182406/http://www.mnw.cn/news/shehui/763416.html
[共同关注]为戒网瘾 误进"地狱"学校?	https://news.cctv.com/society/20070621/103838.shtml	https://archive.is/rLp9D
18岁男孩被送去特训学校戒网瘾 不到48小时后身亡	https://news.jstv.com/a/20170814/1502698141724.shtml	https://archive.is/4CRay
“电疗”戒网瘾，孩子每天做噩梦想自杀！究竟谁之过？	https://baijiahao.baidu.com/s?id=1597625897292562775	https://archive.is/0HpfW
我采访了三个从网瘾中心出来的少年 他们到底经历了什么	https://www.guancha.cn/society/2016_08_12_371072_s.shtml	https://archive.is/LbXTa
河南19岁少女戒网瘾死在学校特训课上 遍体鳞伤	https://news.rednet.cn/c/2014/06/15/3376711.htm	https://archive.is/ZLszM
对话因开网店被送网戒中心当事人：“我将站在阳光下，与杨永信对质”	https://new.qq.com/rain/a/20230426A09PBD00	https://archive.is/cNyrw
被殴打、遭虐待，曝光特训学校的暗面	https://mp.weixin.qq.com/s/vtG9wZ3K2nKnfZze8zoudg	https://web.archive.org/web/20240830224131/https://mp.weixin.qq.com/s/vtG9wZ3K2nKnfZze8zoudg
网友举报成都一特训学校殴打学生还冒充民警，当地多部门介入调查	https://baijiahao.baidu.com/s?id=1807514311674536639	https://archive.is/BsnIs
